id,registration_number,driver_name,driver_nic,contact_number,district,device_id,status
1,WP 0001,Driver 1,700000001V,0712345678,Colombo,DEVICE-0001,active
2,WP 0002,Driver 2,700000002V,0723456789,Gampaha,DEVICE-0002,active
3,WP 0003,Driver 3,700000003V,0734567890,Kalutara,DEVICE-0003,active
4,WP 0004,Driver 4,700000004V,0745678901,Kandy,DEVICE-0004,active
5,WP 0005,Driver 5,700000005V,0756789012,Matale,DEVICE-0005,active
6,WP 0006,Driver 6,700000006V,0767890123,Nuwara Eliya,DEVICE-0006,active
7,WP 0007,Driver 7,700000007V,0778901234,Galle,DEVICE-0007,active
8,WP 0008,Driver 8,700000008V,0789012345,Matara,DEVICE-0008,active
9,WP 0009,Driver 9,700000009V,0790123456,Hambantota,DEVICE-0009,active
10,WP 0010,Driver 10,700000010V,0710234567,Jaffna,DEVICE-0010,active
11,WP 0011,Driver 11,700000011V,0721345678,Kilinochchi,DEVICE-0011,active
12,WP 0012,Driver 12,700000012V,0732456789,Mannar,DEVICE-0012,active
13,WP 0013,Driver 13,700000013V,0743567890,Vavuniya,DEVICE-0013,active
14,WP 0014,Driver 14,700000014V,0754678901,Mullaitivu,DEVICE-0014,active
15,WP 0015,Driver 15,700000015V,0765789012,Batticaloa,DEVICE-0015,active
16,WP 0016,Driver 16,700000016V,0776890123,Ampara,DEVICE-0016,active
17,WP 0017,Driver 17,700000017V,0787901234,Trincomalee,DEVICE-0017,active
18,WP 0018,Driver 18,700000018V,0798012345,Kurunegala,DEVICE-0018,active
19,WP 0019,Driver 19,700000019V,0719123456,Puttalam,DEVICE-0019,active
20,WP 0020,Driver 20,700000020V,0720234567,Anuradhapura,DEVICE-0020,active
21,WP 0021,Driver 21,700000021V,0731345678,Polonnaruwa,DEVICE-0021,active
22,WP 0022,Driver 22,700000022V,0742456789,Badulla,DEVICE-0022,active
23,WP 0023,Driver 23,700000023V,0753567890,Monaragala,DEVICE-0023,active
24,WP 0024,Driver 24,700000024V,0764678901,Ratnapura,DEVICE-0024,active
25,WP 0025,Driver 25,700000025V,0775789012,Kegalle,DEVICE-0025,active
26,WP 0026,Driver 26,700000026V,0786890123,Colombo,DEVICE-0026,active
27,WP 0027,Driver 27,700000027V,0797901234,Gampaha,DEVICE-0027,active
28,WP 0028,Driver 28,700000028V,0718012345,Kalutara,DEVICE-0028,active
29,WP 0029,Driver 29,700000029V,0729123456,Kandy,DEVICE-0029,active
30,WP 0030,Driver 30,700000030V,0730234567,Matale,DEVICE-0030,active
31,WP 0031,Driver 31,700000031V,0741345678,Nuwara Eliya,DEVICE-0031,active
32,WP 0032,Driver 32,700000032V,0752456789,Galle,DEVICE-0032,active
33,WP 0033,Driver 33,700000033V,0763567890,Matara,DEVICE-0033,active
34,WP 0034,Driver 34,700000034V,0774678901,Hambantota,DEVICE-0034,active
35,WP 0035,Driver 35,700000035V,0785789012,Jaffna,DEVICE-0035,active
36,WP 0036,Driver 36,700000036V,0796890123,Kilinochchi,DEVICE-0036,active
37,WP 0037,Driver 37,700000037V,0717901234,Mannar,DEVICE-0037,active
38,WP 0038,Driver 38,700000038V,0728012345,Vavuniya,DEVICE-0038,active
39,WP 0039,Driver 39,700000039V,0739123456,Mullaitivu,DEVICE-0039,active
40,WP 0040,Driver 40,700000040V,0740234567,Batticaloa,DEVICE-0040,active
41,WP 0041,Driver 41,700000041V,0751345678,Ampara,DEVICE-0041,active
42,WP 0042,Driver 42,700000042V,0762456789,Trincomalee,DEVICE-0042,active
43,WP 0043,Driver 43,700000043V,0773567890,Kurunegala,DEVICE-0043,active
44,WP 0044,Driver 44,700000044V,0784678901,Puttalam,DEVICE-0044,active
45,WP 0045,Driver 45,700000045V,0795789012,Anuradhapura,DEVICE-0045,active
46,WP 0046,Driver 46,700000046V,0716890123,Polonnaruwa,DEVICE-0046,active
47,WP 0047,Driver 47,700000047V,0727901234,Badulla,DEVICE-0047,active
48,WP 0048,Driver 48,700000048V,0738012345,Monaragala,DEVICE-0048,active
49,WP 0049,Driver 49,700000049V,0749123456,Ratnapura,DEVICE-0049,active
50,WP 0050,Driver 50,700000050V,0750234567,Kegalle,DEVICE-0050,active
